source_name,author,date,title,description,content,title_desc,one_shot_class,tesla_related,label,title_label,title_score,content_label,content_score,description_label,description_score,title_desc_label,title_desc_score,source_country
Fortune,Paige Hagy,2023-09-18,Musk and Tesla are the 'clear winners' of the Detroit auto strike. Analysts say Elon 'put champagne on ice' as he sees the ultimate EV victory,Analysts say Musk and Tesla are clear winners of the strike given the companys non-union status that lets it continue to pump out cars while Detroit is shut down.,"President Joe Biden is caught between a rock and a hard place as autoworkers strike against Detroits Big Three U.S. carmakers: Ford, General Motors, and Stellantis (formerly Fiat Chrysler). Biden, wh [+3691 chars]",Musk and Tesla are the 'clear winners' of the Detroit auto strike. Analysts say Elon 'put champagne on ice' as he sees the ultimate EV victory Analysts say Musk and Tesla are clear winners of the strike given the companys non-union status that lets it continue to pump out cars while Detroit is shut down.,yes,yes,positive,neutral,0.4661460220813751,negative,0.8955408334732056,negative,0.5539913177490234,positive,0.4442331790924072,US
Breitbart News,"Simon Kent, Simon Kent",2023-09-18,Erdogan in NYC Urges Elon Musk to Build a Tesla Factory in Turkey,Turkish President Recep Tayyip Erdogan used a break in New York City on Sunday to urge tech giant Elon Musk to open his next Tesla factory in Turkey.,"Turkish President Recep Tayyip Erdogan used a break in New York City on Sunday to urge tech giant Elon Musk to open his next Tesla factory in Turkey.
Erdogans entreaty makes him just the latest in  [+1703 chars]",Erdogan in NYC Urges Elon Musk to Build a Tesla Factory in Turkey Turkish President Recep Tayyip Erdogan used a break in New York City on Sunday to urge tech giant Elon Musk to open his next Tesla factory in Turkey.,yes,yes,positive,neutral,0.8080425262451172,neutral,0.7863235473632812,neutral,0.78105628490448,neutral,0.8360523581504822,US
NBC News,"Lora Kolodny, CNBC",2023-09-18,"Elon Musk says Twitter, now X, is moving to small monthly subscription","Elon Musk discussed his plans for Twitter, now called X, on Monday during a livestreamed conversation with Israeli Prime Minister Benjamin Netanyahu.","Elon Musk discussed his plans for Twitter, now called X, on Monday during a livestreamed conversation with Israeli Prime Minister Benjamin Netanyahu. Among other things, Musk said the social network  [+4171 chars]","Elon Musk says Twitter, now X, is moving to small monthly subscription Elon Musk discussed his plans for Twitter, now called X, on Monday during a livestreamed conversation with Israeli Prime Minister Benjamin Netanyahu.",no,no,neutral,neutral,0.9323092103004456,neutral,0.935801923274994,neutral,0.9022231101989746,neutral,0.9092616438865662,US
Fortune,Christiaan Hetzner,2023-09-18,UAW boss says Big 3 can give their fair share after earning a quarter of a trillion in profits over past decade,"UAW boss Shawn Fain says after securing a deal with General Motors, Ford and Stellantis, Tesla will be next.","Union leader Shawn Fain has a message for Elon Musk: after the United Auto Workers (UAW) secure a historic pay hike for staff at Detroits Big 3, hes coming for Tesla next.Before workers had downed th [+2546 chars]","UAW boss says Big 3 can give their fair share after earning a quarter of a trillion in profits over past decade UAW boss Shawn Fain says after securing a deal with General Motors, Ford and Stellantis, Tesla will be next.",yes,yes,negative,neutral,0.554536759853363,negative,0.562747061252594,neutral,0.8407200574874878,positive,0.7532209753990173,US
The Times of India,Reuters,2023-09-18,"Tesla, Saudi Arabia in early talks for electric vehicle factory: Report","The report comes just hours after Turkish President Tayyip Erdogan asked Tesla CEO Elon Musk to build a vehicle factory in Turkey, according to the country's communications directorate. Musk is also set to meet Israeli Prime Minister Benjamin Netanyahu in Cal","Saudi Arabia is in early talks with U.S. electric automaker Tesla to set up a manufacturing facility in the kingdom, the Wall Street Journal reported on Monday, citing sources familiar with the matte [+1593 chars]","Tesla, Saudi Arabia in early talks for electric vehicle factory: Report The report comes just hours after Turkish President Tayyip Erdogan asked Tesla CEO Elon Musk to build a vehicle factory in Turkey, according to the country's communications directorate. Musk is also set to meet Israeli Prime Minister Benjamin Netanyahu in Cal",yes,yes,positive,neutral,0.9311698079109192,neutral,0.6493031978607178,neutral,0.9194093346595764,neutral,0.9060914516448976,India
The Times of India,AFP,2023-09-18,Turkish President Recep Tayyip Erdogan lobbies Elon Musk for new Tesla factory,"Turkish President Recep Tayyip Erdogan has urged Elon Musk to open a Tesla factory in Turkey. Erdogan and Musk have developed a friendship, with Erdogan's office stating that Turkey is one of the most important candidates for a new Tesla factory. This follows","Turkish President Recep Tayyip Erdogan urged tech tycoon Elon Musk to open his next Tesla factory in Turkey, becoming the latest leader to lobby one of the world's richest men.Erdogan and Musk have h [+2555 chars]","Turkish President Recep Tayyip Erdogan lobbies Elon Musk for new Tesla factory Turkish President Recep Tayyip Erdogan has urged Elon Musk to open a Tesla factory in Turkey. Erdogan and Musk have developed a friendship, with Erdogan's office stating that Turkey is one of the most important candidates for a new Tesla factory. This follows",yes,yes,positive,neutral,0.7506678104400635,neutral,0.6917668581008911,positive,0.8460137844085693,positive,0.6060786247253418,India
The Times of India,Reuters,2023-09-18,Turkish President Erdogan asks Musk to build Tesla factory in Turkey,"Turkish President Tayyip Erdogan has asked Tesla CEO Elon Musk to consider building a Tesla factory in Turkey. During a meeting in New York, Erdogan also discussed potential cooperation on artificial intelligence and SpaceX's Starlink satellite internet ventu","Turkish President Tayyip Erdogan asked Tesla CEO Elon Musk to build a Tesla factory in Turkey, the country's communications directorate said on Monday.It cited Musk as saying that many Turkish suppli [+2086 chars]","Turkish President Erdogan asks Musk to build Tesla factory in Turkey Turkish President Tayyip Erdogan has asked Tesla CEO Elon Musk to consider building a Tesla factory in Turkey. During a meeting in New York, Erdogan also discussed potential cooperation on artificial intelligence and SpaceX's Starlink satellite internet ventu",yes,yes,positive,neutral,0.6815322041511536,neutral,0.8684932589530945,positive,0.5612590312957764,positive,0.6814509630203247,India
ABC News,The Associated Press,2023-09-18,Netanyahu visits Elon Musk in California with plans to talk about artificial intelligence,Prime Minister Benjamin Netanyahu is starting a U.S. trip in California to talk about technology and artificial intelligence with billionaire businessman Elon Musk,"SAN JOSE, Calif. -- Prime Minister Benjamin Netanyahu is starting a U.S. trip in California to talk about technology and artificial intelligence with billionaire businessman Elon Musk.
The Israeli l [+2567 chars]",Netanyahu visits Elon Musk in California with plans to talk about artificial intelligence Prime Minister Benjamin Netanyahu is starting a U.S. trip in California to talk about technology and artificial intelligence with billionaire businessman Elon Musk,no,yes,positive,neutral,0.8710660338401794,neutral,0.9086933135986328,neutral,0.8934212327003479,neutral,0.889549195766449,US
Business Insider,Theron Mohamed,2023-09-18,"Elon Musk blasted short-sellers as bloodsuckers. Bill Gates, 'Big Short' star Michael Burry, and other top investors have bet against Tesla.","Elon Musk hates people who bet against Tesla. Bill Gates, Michael Burry, Jim Chanos, and David Einhorn have all taken short positions in recent years.","Elon Musk.REUTERS/Rebecca Cook
<ul>
<li>Elon Musk blasted short-sellers as ""leeches"" and bemoaned their access to inside information.</li>
<li>Bill Gates, Michael Burry, David Einhorn, and Jim Chano [+3180 chars]","Elon Musk blasted short-sellers as bloodsuckers. Bill Gates, 'Big Short' star Michael Burry, and other top investors have bet against Tesla. Elon Musk hates people who bet against Tesla. Bill Gates, Michael Burry, Jim Chanos, and David Einhorn have all taken short positions in recent years.",yes,yes,negative,neutral,0.4990838170051574,negative,0.5170643925666809,negative,0.5727473497390747,neutral,0.5095375180244446,US
Fortune,Christiaan Hetzner,2023-09-18,Tim Cook admits we constantly ask ourselves whether Apple should pull ads from Twitter,"The Apple CEO, awarded by the ADL for combatting bigotry, already pulled its spending from Elon Musk's social media platform once.","Elon Musks controversial management of Twitter, now rebranded X under the tycoon, already led Apple to cut its advertising spending once. It may not be the last time either after Musks recent attack  [+2919 chars]","Tim Cook admits we constantly ask ourselves whether Apple should pull ads from Twitter The Apple CEO, awarded by the ADL for combatting bigotry, already pulled its spending from Elon Musk's social media platform once.",no,no,negative,negative,0.5479199886322021,negative,0.9580390453338624,negative,0.9286591410636902,negative,0.8378905057907104,US
Fortune,Nicholas Gordon,2023-09-18,"Workers shouldn't accept lower wages so greedy people like Elon Musk can build more rocket ships,' says UAW president Shawn Fain",UAW president Shawn Fain was defending the union's demands as automakers worry of an even larger cost disadvantage to EV maker Tesla.,"The president of the auto workers union had harsh words for Elon Musk, the Tesla CEO and longtime nemesis of organized labor.Workers in companies like Tesla are scraping to get by so that greedy CEOs [+4474 chars]","Workers shouldn't accept lower wages so greedy people like Elon Musk can build more rocket ships,' says UAW president Shawn Fain UAW president Shawn Fain was defending the union's demands as automakers worry of an even larger cost disadvantage to EV maker Tesla.",yes,yes,negative,negative,0.8538289070129395,negative,0.8992503881454468,negative,0.9314523935317992,negative,0.9481692314147948,US
Reuters,Chandni Shah,2023-09-18,Erdogan asks Musk to build Tesla factory in Turkey,"Turkish President Tayyip Erdogan asked Tesla <a href=""https://www.reuters.com/markets/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> CEO Elon Musk to build a Tesla factory in Turkey, the country's communications directorate said on Monday.","ISTANBUL, Sept 17 (Reuters) - Turkish President Tayyip Erdogan asked Tesla (TSLA.O) CEO Elon Musk to build a Tesla factory in Turkey, the country's communications directorate said on Monday.
It cite [+2248 chars]","Erdogan asks Musk to build Tesla factory in Turkey Turkish President Tayyip Erdogan asked Tesla <a href=""https://www.reuters.com/markets/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> CEO Elon Musk to build a Tesla factory in Turkey, the country's communications directorate said on Monday.",yes,yes,positive,neutral,0.8259233832359314,neutral,0.495411217212677,neutral,0.6913092136383057,neutral,0.6723736524581909,UK
Associated Press,AP,2023-09-18,Netanyahu talks to Elon Musk in California about antisemitism on X and artificial intelligence,Israeli Prime Minister Benjamin Netanyahu kicked off a U.S. trip in California to talk to billionaire businessman Elon Musk about antisemitism on his social media platform X  while Musk asked him to address his judicial overhaul in Israel. The,"SAN JOSE, Calif. (AP) Israeli Prime Minister Benjamin Netanyahu kicked off a U.S. trip in California to talk to billionaire businessman Elon Musk about antisemitism on his social media platform X whi [+5749 chars]",Netanyahu talks to Elon Musk in California about antisemitism on X and artificial intelligence Israeli Prime Minister Benjamin Netanyahu kicked off a U.S. trip in California to talk to billionaire businessman Elon Musk about antisemitism on his social media platform X  while Musk asked him to address his judicial overhaul in Israel. The,no,no,neutral,neutral,0.8973681926727295,neutral,0.7303013205528259,negative,0.5185298323631287,neutral,0.7135890126228333,US
The Jerusalem Post,By JERUSALEM POST STAFF,2023-09-18,WATCH: PM Netanyahu speaks with Elon Musk,"The two discussed a number of issues, such as the risks and benefits of artificial intelligence (AI).","Prime Minister Benjamin Netanyahu spoke with Tesla CEO Elon Musk in an X Space conversation on Monday evening, welcoming the CEO's stance against antisemitism amid controversy surrounding widespread  [+2288 chars]","WATCH: PM Netanyahu speaks with Elon Musk The two discussed a number of issues, such as the risks and benefits of artificial intelligence (AI).",no,yes,positive,neutral,0.9421775341033936,positive,0.7102771997451782,neutral,0.9107733964920044,neutral,0.8607398867607117,Israel
Breitbart News,"Joel B. Pollak, Joel B. Pollak",2023-09-18,Elon Musk Hosts Benjamin Netanyahu for AI Discussion in California,"Tesla CEO and Twitter/X owner Elon Musk hosted Israeli Prime Minister Benjamin Netanyahu for a live-streamed discussion about Alternative Intelligence (AI) -- and many other topics -- at Tesla's Fremont, California, factory.",Tesla CEO and Twitter/X owner Elon Musk hosted Israeli Prime Minister Benjamin Netanyahu for a live-streamed discussion about Alternative Intelligence (AI)  and many other topics  at Teslas Fremon [+2337 chars],"Elon Musk Hosts Benjamin Netanyahu for AI Discussion in California Tesla CEO and Twitter/X owner Elon Musk hosted Israeli Prime Minister Benjamin Netanyahu for a live-streamed discussion about Alternative Intelligence (AI) -- and many other topics -- at Tesla's Fremont, California, factory.",yes,yes,positive,neutral,0.928482174873352,neutral,0.930121660232544,neutral,0.9308608770370485,neutral,0.9439697265625,US
The Washington Post,Evan Halper,2023-09-18,Tesla and EV supply chains raise concerns about forced labor in China,"Companies with ties to Chinas oppressive tactics in Xinjiang are becoming embedded in the EV supply chain, worrying experts who say the industry is at an inflection point on human rights.","Reporter Evan Halper spent months mapping the opaque China-based supply chains behind the production of millions of electric vehicles. With the help of researchers, he pieced together hundreds of fin [+29891 chars]","Tesla and EV supply chains raise concerns about forced labor in China Companies with ties to Chinas oppressive tactics in Xinjiang are becoming embedded in the EV supply chain, worrying experts who say the industry is at an inflection point on human rights.",yes,,,negative,0.9611952900886536,neutral,0.9158468842506408,negative,0.955432116985321,negative,0.9517396688461304,US
Hacker News,,2023-09-18,Y Combinator Podcast #4: Sam Altman Interviews Elon Musk,"Elon is the CEO of SpaceX and Tesla Motors.

Originally a cofounder of Paypal, Elon Musk founded SpaceX to enable the
colonization of Mars.


--------------------------------------------------------------------------------








----------------------------","Elon is the CEO of SpaceX and Tesla Motors.
Originally a cofounder of Paypal, Elon Musk founded SpaceX to enable the colonization of Mars.
Subscribe
iTunesGoogle PlayStitcherRSS
Transcript
Craig [+20035 chars]","Y Combinator Podcast #4: Sam Altman Interviews Elon Musk Elon is the CEO of SpaceX and Tesla Motors.

Originally a cofounder of Paypal, Elon Musk founded SpaceX to enable the
colonization of Mars.


--------------------------------------------------------------------------------








----------------------------",yes,,,neutral,0.9292179346084596,neutral,0.9457163214683532,neutral,0.9438050389289856,neutral,0.9403321146965028,US
The Washington Post,Will Oremus,2023-09-18,"Netanyahu, Musk meet at Tesla factory to discuss AI",Tech magnate Elon Musk and Israeli Prime Minister Benjamin Netanyahu are meeting in California to discuss AI as each looks to the other to fend off criticism.,"Comment on this story
Comment
Tech magnate Elon Musk and Israeli Prime Minister Benjamin Netanyahu are meeting at Teslas factory in Fremont, Calif., on Monday in a session each hopes will help fend [+1806 chars]","Netanyahu, Musk meet at Tesla factory to discuss AI Tech magnate Elon Musk and Israeli Prime Minister Benjamin Netanyahu are meeting in California to discuss AI as each looks to the other to fend off criticism.",yes,,,neutral,0.923576295375824,neutral,0.8709166049957275,neutral,0.7111006379127502,neutral,0.7384752631187439,US
Next Big Future,Brian Wang,2023-09-18,Twitter Space on the Next Great Power,"I, Brian Wang, will be talking with Warren Redlich and @Anything Tesla about the Next Great Power. China vs USA vs India. I will be making a case for ASEAN and Canada. We will discuss demographics, immigration-emigration and people, money and technology. I wo","I, Brian Wang, will be talking with Warren Redlich and @Anything Tesla about the Next Great Power. China vs USA vs India.
I will be making a case for ASEAN and Canada. We will discuss demographics,  [+1989 chars]","Twitter Space on the Next Great Power I, Brian Wang, will be talking with Warren Redlich and @Anything Tesla about the Next Great Power. China vs USA vs India. I will be making a case for ASEAN and Canada. We will discuss demographics, immigration-emigration and people, money and technology. I wo",yes,,,neutral,0.8957858681678772,neutral,0.9239860773086548,neutral,0.9269797801971436,neutral,0.9246068000793456,US
Business Insider,tcarter@insider.com (Tom Carter),2023-09-18,"Elon Musk shared some painfully awkward small talk with Turkey's president, with Erdogan asking the unmarried billionaire how his wife is",The Tesla CEO shared an awkward moment with Recep Tayyip Erdogan as he brought his son X to a meeting to discuss Tesla and Starlink.,"Elon Musk shared an awkward moment with Recep Tayyip Erdogan as he brought his son X to a meeting with the Turkish president.
""Where is your wife?"" asked Erdogan, as the two men exchanged small talk [+1588 chars]","Elon Musk shared some painfully awkward small talk with Turkey's president, with Erdogan asking the unmarried billionaire how his wife is The Tesla CEO shared an awkward moment with Recep Tayyip Erdogan as he brought his son X to a meeting to discuss Tesla and Starlink.",yes,,,negative,0.8501458764076233,neutral,0.5356468558311462,negative,0.6898632049560547,negative,0.7966547608375549,US
The Hill,Sarah Fortinsky,2023-09-18,"Musk, Erdogan discuss Tesla plant in Turkey","Tech billionaire Elon Musk and Turkish President Recep Tayyip Erdogan discussed the prospect of building Teslas newest factory in Turkey, at a meeting...","Tech billionaire Elon Musk and Turkish President Recep Tayyip Erdoan discussed the prospect of building Teslas newest factory in Turkey, at a meeting Monday in New York.
Erdoan, who is in New York f [+1377 chars]","Musk, Erdogan discuss Tesla plant in Turkey Tech billionaire Elon Musk and Turkish President Recep Tayyip Erdogan discussed the prospect of building Teslas newest factory in Turkey, at a meeting...",yes,,,neutral,0.9226227402687072,neutral,0.8703791499137878,positive,0.5747299790382385,neutral,0.5205859541893005,US
Fortune,"Selcan Hacaoglu, Bloomberg",2023-09-18,"Musk took his son to meet Turkish President Erdogan, who asked him to build a Tesla plant in Turkey","Erdogan has been encouraging development of a self-sufficient defense industry, including production of unmanned combat aircraft, to support Turkeys military in a region mired in conflict.","Elon Musk visited Turkish President Recep Tayyip Erdogan in New York, spending about a 45 minutes discussing artificial intelligence and a potential Tesla factory.According to Erdogans office, he inv [+1644 chars]","Musk took his son to meet Turkish President Erdogan, who asked him to build a Tesla plant in Turkey Erdogan has been encouraging development of a self-sufficient defense industry, including production of unmanned combat aircraft, to support Turkeys military in a region mired in conflict.",yes,,,neutral,0.7858986854553223,neutral,0.9234192371368408,positive,0.8996741771697998,positive,0.842510998249054,US
New York Magazine,Intelligencer Staff,2023-09-18,Walter Isaacson on Almost All the Criticism of His Elon Musk Book,"In the latest episode of On With Kara Swisher, Kara grills author Walter Isaacson on his new biography, and tries to get him to admit whether he actually likes Elon Musk or not, after spending two years following the guy around.","Kara Swisher couldnt wait to interview and cross-examine her longtime friend, Walter Isaacson, about his new biography of Elon Musk, but she did wait to do so until after the reviews, and fact checks [+70934 chars]","Walter Isaacson on Almost All the Criticism of His Elon Musk Book In the latest episode of On With Kara Swisher, Kara grills author Walter Isaacson on his new biography, and tries to get him to admit whether he actually likes Elon Musk or not, after spending two years following the guy around.",no,yes,neutral,neutral,0.9164983034133912,neutral,0.9442468881607056,neutral,0.865565836429596,neutral,0.8758070468902588,US
Fortune,"Marissa Newman, Bloomberg",2023-09-18,"Despite a war against the ADL and hate on his social media service, Elon Musk tells Benjamin Netanyahu he's no antisemite",Israel's prime minister said hoped Musk would find it within the confines of the First Amendment to limit antisemitism and hate.,Elon Musk opened up a discussion with Israeli Prime Minister Benjamin Netanyahu by staunchly defending himself against accusations of antisemitism.Obviously Im against antisemitism. Im against anti-a [+3795 chars],"Despite a war against the ADL and hate on his social media service, Elon Musk tells Benjamin Netanyahu he's no antisemite Israel's prime minister said hoped Musk would find it within the confines of the First Amendment to limit antisemitism and hate.",no,,,neutral,0.8394922614097595,neutral,0.5790440440177917,neutral,0.836157500743866,neutral,0.8456215262413025,US
ABC News,The Associated Press,2023-09-18,Turkey's President Erdogan and Elon Musk discuss establishing a Tesla car factory in Turkey,"Turkish President Recep Tayyip Erdogan has called on Elon Musk, the head of electric carmaker Tesla, to establish a factory in Turkey","ISTANBUL -- Turkish President Recep Tayyip Erdogan called on Elon Musk, the head of electric carmaker Tesla, to establish a factory in Turkey during a meeting in New York, Erdogans office said Monday [+792 chars]","Turkey's President Erdogan and Elon Musk discuss establishing a Tesla car factory in Turkey Turkish President Recep Tayyip Erdogan has called on Elon Musk, the head of electric carmaker Tesla, to establish a factory in Turkey",yes,,,neutral,0.8630679845809937,neutral,0.8660610914230347,neutral,0.5982177257537842,neutral,0.6830778121948242,US
Al Jazeera English,Al Jazeera,2023-09-18,Netanyahu talks to Elon Musk in California about anti-Semitism on X,Netanyahus high-profile visit comes at a time when Musk is facing accusations of tolerating anti-Semitism on X.,"Prime Minister Benjamin Netanyahu is starting a US trip in California to talk about technology and artificial intelligence with billionaire businessman Elon Musk.
The Israeli leader posted Monday on [+4420 chars]",Netanyahu talks to Elon Musk in California about anti-Semitism on X Netanyahus high-profile visit comes at a time when Musk is facing accusations of tolerating anti-Semitism on X.,no,,,neutral,0.8957506418228149,neutral,0.915829598903656,neutral,0.5121141076087952,neutral,0.828790009021759,Qatar
The Jerusalem Post,By REUTERS,2023-09-18,"Turkey wants a Tesla factory, Erdogan tells Elon Musk","Many Turkish suppliers are already working with Tesla and Turkey was among the most important candidates for its next factory, Musk replied.","Turkish President Tayyip Erdogan asked Tesla CEO Elon Musk to build a Tesla factory in Turkey, the country's communications directorate said on Monday.
It cited Musk as saying that many Turkish supp [+1676 chars]","Turkey wants a Tesla factory, Erdogan tells Elon Musk Many Turkish suppliers are already working with Tesla and Turkey was among the most important candidates for its next factory, Musk replied.",yes,,,neutral,0.8706483244895935,neutral,0.8589468598365784,positive,0.5613075494766235,neutral,0.5012803077697754,Israel
Al Jazeera English,Al Jazeera,2023-09-18,"Turkeys Erdogan asks Musk to build Tesla factory, state-owned media says","Turkish president made request while in the US for United Nations General Assembly, Turkish news agency says.","Turkish President Recep Tayyip Erdogan has asked Tesla CEO Elon Musk to build a Tesla factory in Turkey, according to the state-owned Anadolu Agency.
Erdogan asked Musk during a meeting at Turkish H [+1395 chars]","Turkeys Erdogan asks Musk to build Tesla factory, state-owned media says Turkish president made request while in the US for United Nations General Assembly, Turkish news agency says.",yes,yes,positive,neutral,0.7688360810279846,neutral,0.7893956303596497,neutral,0.7960137128829956,neutral,0.7375710606575012,Qatar
Fortune,The Associated Press,2023-09-18,Elon Musk accuses George Soros of wanting 'destruction of western civilization' a day before meeting Netanyahu over antisemitism on X,"A day before discussing antisemitism on X, Musk said Soros organization appears to want nothing less than the destruction of western civilization.",Israeli Prime Minister Benjamin Netanyahu kicked off a U.S. trip in California to talk to billionaire businessman Elon Musk about antisemitism on his social media platform X while Musk asked him to a [+5616 chars],"Elon Musk accuses George Soros of wanting 'destruction of western civilization' a day before meeting Netanyahu over antisemitism on X A day before discussing antisemitism on X, Musk said Soros organization appears to want nothing less than the destruction of western civilization.",no,,,negative,0.8694623112678528,neutral,0.5959636569023132,neutral,0.8338780999183655,negative,0.6653581261634827,US
Next Big Future,Brian Wang,2023-09-18,Pepsi Tesla Semi Truck Drives 1600 Miles Over Two Days in Real World Tests,One of Tesla Semi trucks drove 1600 miles over two days. This required two different drivers on each day. Truck drivers in the US are limited to 10 hours of driving without a long break. Semi trucks need to operate long distances day after day. Tesla Semi out,Brian Wang is a Futurist Thought Leader and a popular Science blogger with 1 million readers per month. His blog Nextbigfuture.com is ranked #1 Science News Blog. It covers many disruptive technology [+593 chars],Pepsi Tesla Semi Truck Drives 1600 Miles Over Two Days in Real World Tests One of Tesla Semi trucks drove 1600 miles over two days. This required two different drivers on each day. Truck drivers in the US are limited to 10 hours of driving without a long break. Semi trucks need to operate long distances day after day. Tesla Semi out,yes,yes,positive,neutral,0.9337575435638428,neutral,0.9305434226989746,neutral,0.847495436668396,neutral,0.8461023569107056,US
The Jerusalem Post,By JERUSALEM POST STAFF,2023-09-18,Elon Musk gives Benjamin Netanyahu tour of Tesla factory,Netanyahu and his wife received from Musk an overview of the company's developments and the various models and observed the production and assembly process of the advanced electric cars.,"Tesla CEO Elon Musk gave Israeli Prime Minister Benjamin Netanyahu a tour of the Tesla factory in Fremont, California on Monday during his visit to the US.
Netanyahu and his wife received from Musk  [+1935 chars]",Elon Musk gives Benjamin Netanyahu tour of Tesla factory Netanyahu and his wife received from Musk an overview of the company's developments and the various models and observed the production and assembly process of the advanced electric cars.,yes,yes,neutral,neutral,0.9238354563713074,neutral,0.9367871880531312,neutral,0.921054184436798,neutral,0.917153298854828,Israel
ABC News (AU),ABC News,2023-09-18,Israel's Netanyahu urges Elon Musk to balance free speech with fighting anti-Semitism,"Israeli Prime Minister Benjamin Netanyahu has urged Elon Musk to strike a balance between protecting free expression and fighting hate speech after weeks of controversy over anti-Semitic content on social media platform X, formerly known as Twitter.",Israeli Prime Minister Benjamin Netanyahu has urged Elon Musk to strike a balance between protecting free expression and fighting hate speech after weeks of controversy over anti-Semitic content on s [+3423 chars],"Israel's Netanyahu urges Elon Musk to balance free speech with fighting anti-Semitism Israeli Prime Minister Benjamin Netanyahu has urged Elon Musk to strike a balance between protecting free expression and fighting hate speech after weeks of controversy over anti-Semitic content on social media platform X, formerly known as Twitter.",no,no,neutral,neutral,0.7808753252029419,positive,0.5658519864082336,positive,0.5374665260314941,positive,0.5658931136131287,Australia
The Jerusalem Post,By DANIEL GOLDMAN,2023-09-18,"Will Netanyahu, Musk talk AI, innovation or X antisemitism? - opinion","Will Benjamin Netanyahu and Elon Musk discuss AI, electric vehicles, and innovation, or allegations that under Musk, X has become an incubator for antisemitism?","Israeli Prime Minister Benjamin Netanyahu is visiting the United States this week. During the visit he is scheduled to meet with Elon Musk.
Musk is one of the richest people on the planet. His net w [+8450 chars]","Will Netanyahu, Musk talk AI, innovation or X antisemitism? - opinion Will Benjamin Netanyahu and Elon Musk discuss AI, electric vehicles, and innovation, or allegations that under Musk, X has become an incubator for antisemitism?",no,,,neutral,0.9238275289535522,neutral,0.923598051071167,neutral,0.7977354526519775,neutral,0.9113398194313048,Israel
The Jerusalem Post,By JERUSALEM POST STAFF,2023-09-18,"Tesla, Saudi Arabia in early talks for EV factory",Saudi Arabia is in early talks with US electric automaker Tesla to set up a manufacturing facility in the king,"Saudi Arabia is in early talks with US electric automaker Tesla to set up a manufacturing facility in the kingdom, the Wall Street Journal reported on Monday, citing sources familiar with the matter.","Tesla, Saudi Arabia in early talks for EV factory Saudi Arabia is in early talks with US electric automaker Tesla to set up a manufacturing facility in the king",yes,,,neutral,0.7958914041519165,neutral,0.6615217924118042,positive,0.6728667616844177,positive,0.7502824664115906,Israel
The Jerusalem Post,By ZVIKA KLEIN,2023-09-18,"WZO chairman slams his deputy, supports Netanyahu-Musk meeting",The debate surrounding the Netanyahu-Musk conversation underscores the complex nature of addressing antisemitism in the digital age.,"The Monday conversation between Israeli Prime Minister Benjamin Netanyahu and Tesla CEO Elon Musk, which aimed to address concerns surrounding antisemitism, has sparked a debate, with World Zionist O [+2666 chars]","WZO chairman slams his deputy, supports Netanyahu-Musk meeting The debate surrounding the Netanyahu-Musk conversation underscores the complex nature of addressing antisemitism in the digital age.",no,no,neutral,neutral,0.756528377532959,negative,0.6612677574157715,neutral,0.8620408177375793,neutral,0.6191457509994507,Israel
BBC News,https://www.facebook.com/bbcnews,2023-09-19,Elon Musk: Social media platform X could go behind paywall,"The billionaire suggested the social media platform, now called X, could charge for use of ""the system"".","Elon Musk has suggested that all users of X, formerly called Twitter, may have to pay for access to the platform.
In a conversation with Israeli Prime Minister Benjamin Netanyahu, the billionaire sa [+2738 chars]","Elon Musk: Social media platform X could go behind paywall The billionaire suggested the social media platform, now called X, could charge for use of ""the system"".",no,,,neutral,0.756317675113678,negative,0.4911412894725799,neutral,0.9243077039718628,neutral,0.9240128397941588,UK
The Irish Times,Dan Milmo,2023-09-19,"Elon Musk says X, formerly Twitter, moving to charging small monthly payment for site","Worlds richest person, who has history of making impromptu statements, says paywall for platform would ward off automated accounts","X, formerly Twitter, owner Elon Musk has said he's looking at introducing a monthly payment for all users of the site to combat bots. Elon Musk has indicated that X, formerly known as Twitter, is con [+2353 chars]","Elon Musk says X, formerly Twitter, moving to charging small monthly payment for site Worlds richest person, who has history of making impromptu statements, says paywall for platform would ward off automated accounts",no,,,neutral,0.8997865319252014,neutral,0.7844467163085938,neutral,0.8880274891853333,neutral,0.8810214400291443,Ireland
Fortune,Christiaan Hetzner,2023-09-19,Musk wants to charge everyone to use Twitter to counter 'bots,"Bots are actually advertisers' problems, but Musk needs to get account details from all his users if he wants to create an 'everything app' that rivals WeChat.","Right after he offered to buy Twitter for $44 billion last April, Elon Musk tweeted triumphantly we will defeat the spam bots or die trying!Almost a year into owning what he has renamed X, Musk by hi [+3986 chars]","Musk wants to charge everyone to use Twitter to counter 'bots Bots are actually advertisers' problems, but Musk needs to get account details from all his users if he wants to create an 'everything app' that rivals WeChat.",no,,,neutral,0.8793799877166748,neutral,0.9193483591079712,neutral,0.8370627164840698,neutral,0.9042353630065918,US
